isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9780471699460	Experiments: Planning, Analysis, and Optimization	Hamada, Michael	Wiley	2009	519.57		professional_technical_engineering_chemical_materials|professional_technical_engineering_mechanical_general|professional_technical_engineering_mechanical_general_aas|professional_technical_engineering_general|professional_technical_professional_science_mathematics_appl|science_chemistry_general_reference|science_chemistry_general_aas|science_experiments_instruments_measurement_experiments_proj|science_mathematics_applied_probability_statistics|science_mathematics_general|science_mathematics_general_aas|science_general_aaaa0|science_general_aas
9780471025634	Foundations of inference in survey sampling	Cassel, Claes|S�rndal, Carl-Erik|Wretman, Jan H?kan	Wiley	1977	519.52	QA276.6	sampling_statistics|estimation_theory
9780412317606	Generalized linear models	McCullagh, Peter|Nelder, John A.|McCullagh, P.	Chapman and Hall	1998	519.5	QA276	linear_models_statistics
9780470073711	Generalized, linear, and mixed models	McCulloch, Charles E.|Shayle R. Searle|Neuhaus, John William	Wiley	2008	519.535	QA279	nonfiction_social_sciences_statistics|science_mathematics_applied_probability_statistics|professional_technical_professional_science_mathematics_appl|linear_models_statistics
9780471295426	Getting started in technical analysis	Schwager, Jack D.	John Wiley	1999	332.63222		stock_price_forecasting|investment_analysis|stocks_charts_diagrams_etc
9781592801985	Hit and Run Trading	Cooper, Jeff	Marketplace Books, Inc	2004	332.64		
9780596000264	HTML & XHTML, the definitive guide	Musciano, Chuck|Kennedy, Bill	O'Reilly	2000	005.7		html_document_markup_language|xhtml_document_markup_language
9781848720473	IBM SPSS Statistics 18 Made Simple	Kinnear, Paul R|Gray, Colin S.	Psychology Press	2010	5.55		
9780387707822	Indirect sampling	Lavall?ee, Pierre	Springer	2007	519.5	QA276.6	sampling_statistics
9780465025220	Intellectuals and Society	Sowell, Thomas	Basic Books	2011	320.0		teens|politics_social_sciences_politics|politics_social_sciences_social_sciences
9780471698685	Internet, mail, and mixed-mode surveys	Dillman, Don A.|Smyth, Jolene D.|Christian, Leah Melani	Wiley & Sons	2009	300.723	HM538	bestskv|social_sciences|research|sociology_research_methodology_sociology_methodology|sociologisk_metod|social_surveys|questionnaires
9780761951612	Introducing ANOVA and ANCOVA	Rutherford, Andrew	SAGE	2001	519.538	QA279	analysis_of_variance|analysis_of_covariance
